               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.057959,            0.080833,                   0,             0.90892,             0.81774,             0.88635,             0.48482,            0.041266,            0.080266,                   0,              0.0333,              0.0333,                 0.1
                   1,            0.055673,            0.082185,                   0,             0.89308,             0.79739,             0.87051,             0.45204,            0.044517,            0.080944,                   0,            0.065974,            0.065974,             0.09934
                   2,            0.051384,            0.075824,                   0,             0.92421,             0.86656,             0.92566,             0.52431,             0.03818,            0.074564,                   0,            0.097988,            0.097988,            0.098021
                   3,            0.048177,            0.071809,                   0,             0.94357,             0.88052,             0.93961,             0.55424,            0.036018,            0.069439,                   0,             0.09703,             0.09703,             0.09703
                   4,            0.046281,            0.069237,                   0,             0.94409,             0.90273,             0.94999,             0.57106,            0.034456,            0.068496,                   0,             0.09703,             0.09703,             0.09703
                   5,            0.045558,            0.068439,                   0,             0.94969,             0.89816,             0.95123,             0.58592,            0.033505,            0.067482,                   0,             0.09604,             0.09604,             0.09604
                   6,             0.04491,            0.067427,                   0,             0.95592,             0.90694,             0.95597,             0.60505,            0.032478,            0.065046,                   0,             0.09505,             0.09505,             0.09505
                   7,            0.044299,            0.067117,                   0,             0.95742,             0.91831,             0.96337,             0.61326,            0.031953,            0.064603,                   0,             0.09406,             0.09406,             0.09406
                   8,            0.043409,            0.065556,                   0,             0.96303,              0.9232,             0.96638,              0.6324,            0.030198,            0.062696,                   0,             0.09307,             0.09307,             0.09307
                   9,             0.04327,            0.065139,                   0,             0.95696,             0.93287,              0.9681,             0.63872,            0.029909,            0.062459,                   0,             0.09208,             0.09208,             0.09208
                  10,            0.043209,            0.064522,                   0,              0.9609,             0.93337,             0.96891,             0.64008,            0.029986,            0.062017,                   0,             0.09109,             0.09109,             0.09109
                  11,            0.042747,            0.064075,                   0,             0.96283,             0.93325,             0.97002,             0.63859,             0.02987,            0.061733,                   0,              0.0901,              0.0901,              0.0901
                  12,            0.042491,            0.064212,                   0,              0.9622,              0.9343,                0.97,             0.64245,            0.028852,            0.061174,                   0,             0.08911,             0.08911,             0.08911
                  13,            0.042057,             0.06323,                   0,              0.9636,              0.9379,             0.97083,              0.6523,            0.028231,             0.06038,                   0,             0.08812,             0.08812,             0.08812
                  14,             0.04217,            0.063396,                   0,              0.9632,              0.9409,             0.97155,             0.65596,            0.028129,            0.060161,                   0,             0.08713,             0.08713,             0.08713
                  15,            0.041613,            0.064191,                   0,             0.96324,              0.9366,             0.97009,             0.65087,            0.028251,             0.06059,                   0,             0.08614,             0.08614,             0.08614
                  16,            0.041277,            0.063315,                   0,             0.96375,             0.94165,             0.97231,             0.65814,            0.027848,            0.059683,                   0,             0.08515,             0.08515,             0.08515
                  17,            0.041426,            0.062961,                   0,             0.96409,             0.94339,             0.97228,             0.66104,            0.027559,            0.059469,                   0,             0.08416,             0.08416,             0.08416
                  18,            0.040977,            0.062892,                   0,              0.9641,             0.94334,              0.9724,             0.66378,            0.027432,            0.059267,                   0,             0.08317,             0.08317,             0.08317
                  19,            0.040745,            0.062815,                   0,             0.96364,             0.94541,             0.97293,             0.66736,            0.027103,            0.058992,                   0,             0.08218,             0.08218,             0.08218
                  20,            0.040631,            0.062128,                   0,             0.96411,             0.94604,             0.97315,             0.66743,            0.027045,            0.058799,                   0,             0.08119,             0.08119,             0.08119
                  21,            0.040633,            0.062253,                   0,             0.96511,             0.94561,             0.97323,             0.66853,            0.026953,            0.058704,                   0,              0.0802,              0.0802,              0.0802
                  22,            0.040295,            0.062303,                   0,             0.96442,             0.94615,             0.97334,             0.67143,            0.026841,            0.058477,                   0,             0.07921,             0.07921,             0.07921
                  23,            0.040073,             0.06204,                   0,             0.96454,             0.94608,             0.97336,             0.67084,            0.026528,            0.058415,                   0,             0.07822,             0.07822,             0.07822
                  24,            0.039845,            0.061756,                   0,             0.96507,             0.94696,             0.97367,             0.67257,            0.026555,             0.05825,                   0,             0.07723,             0.07723,             0.07723
                  25,            0.039573,            0.061678,                   0,             0.96477,             0.94775,             0.97425,             0.67359,            0.026494,            0.058174,                   0,             0.07624,             0.07624,             0.07624
                  26,            0.039407,            0.061308,                   0,             0.96446,             0.94812,             0.97373,             0.67475,            0.026419,            0.058008,                   0,             0.07525,             0.07525,             0.07525
                  27,            0.039147,            0.061209,                   0,             0.96516,             0.94795,             0.97389,             0.67636,            0.026267,            0.057851,                   0,             0.07426,             0.07426,             0.07426
                  28,            0.039196,             0.06127,                   0,             0.96573,             0.94915,             0.97418,             0.67788,             0.02901,            0.059909,                   0,             0.07327,             0.07327,             0.07327
                  29,            0.038836,             0.06117,                   0,             0.96588,             0.94888,             0.97417,             0.67851,            0.027918,            0.059911,                   0,             0.07228,             0.07228,             0.07228
                  30,            0.038786,            0.061448,                   0,              0.9658,             0.94917,             0.97416,             0.67909,            0.027098,              0.0594,                   0,             0.07129,             0.07129,             0.07129
                  31,            0.038241,             0.06023,                   0,             0.96615,             0.94927,             0.97476,             0.67976,            0.026632,            0.059018,                   0,              0.0703,              0.0703,              0.0703
                  32,            0.038398,            0.060505,                   0,             0.96623,             0.94986,             0.97481,             0.67996,            0.026371,            0.058832,                   0,             0.06931,             0.06931,             0.06931
                  33,            0.037895,            0.060577,                   0,             0.96587,             0.95047,             0.97493,             0.68092,            0.026221,            0.058633,                   0,             0.06832,             0.06832,             0.06832
                  34,            0.037932,            0.060275,                   0,             0.96588,             0.95064,             0.97544,             0.68153,            0.026104,            0.058441,                   0,             0.06733,             0.06733,             0.06733
                  35,             0.03751,             0.05985,                   0,             0.96621,             0.95097,              0.9755,             0.68251,            0.026026,            0.058268,                   0,             0.06634,             0.06634,             0.06634
                  36,            0.037672,            0.059881,                   0,             0.96605,             0.95119,             0.97563,             0.68281,            0.025933,            0.058152,                   0,             0.06535,             0.06535,             0.06535
                  37,            0.037178,            0.059393,                   0,             0.96626,              0.9513,             0.97583,             0.68299,            0.025839,            0.058034,                   0,             0.06436,             0.06436,             0.06436
                  38,            0.037176,            0.059483,                   0,             0.96622,             0.95158,             0.97593,              0.6834,            0.025769,            0.057928,                   0,             0.06337,             0.06337,             0.06337
                  39,            0.036927,            0.059443,                   0,             0.96688,             0.95117,             0.97603,             0.68363,            0.025713,            0.057848,                   0,             0.06238,             0.06238,             0.06238
                  40,            0.036552,            0.059174,                   0,             0.96704,             0.95113,             0.97669,             0.68408,            0.025662,            0.057762,                   0,             0.06139,             0.06139,             0.06139
                  41,            0.036696,            0.059391,                   0,             0.96756,             0.95107,             0.97676,             0.68482,            0.025601,             0.05769,                   0,              0.0604,              0.0604,              0.0604
                  42,             0.03627,             0.05903,                   0,             0.96734,             0.95148,             0.97699,             0.68505,            0.025547,            0.057605,                   0,             0.05941,             0.05941,             0.05941
                  43,            0.036143,            0.058716,                   0,             0.96758,             0.95139,             0.97736,             0.68548,            0.025507,            0.057519,                   0,             0.05842,             0.05842,             0.05842
                  44,            0.036135,            0.059029,                   0,             0.96789,             0.95143,              0.9774,             0.68606,            0.025469,            0.057438,                   0,             0.05743,             0.05743,             0.05743
                  45,            0.035829,            0.058843,                   0,             0.96859,             0.95109,             0.97726,             0.68637,            0.025434,            0.057372,                   0,             0.05644,             0.05644,             0.05644
                  46,            0.035563,            0.058446,                   0,              0.9685,             0.95109,             0.97733,             0.68671,              0.0254,            0.057305,                   0,             0.05545,             0.05545,             0.05545
                  47,            0.035338,            0.058473,                   0,             0.96849,             0.95141,             0.97757,             0.68741,            0.025345,            0.057182,                   0,             0.05446,             0.05446,             0.05446
                  48,            0.035251,            0.058181,                   0,             0.96901,             0.95139,             0.97783,             0.68793,            0.025324,            0.057106,                   0,             0.05347,             0.05347,             0.05347
                  49,            0.035123,            0.058157,                   0,             0.96912,             0.95166,             0.97822,             0.68801,            0.025291,             0.05705,                   0,             0.05248,             0.05248,             0.05248
                  50,            0.034691,            0.057795,                   0,             0.96944,             0.95143,             0.97816,             0.68854,            0.025242,            0.056988,                   0,             0.05149,             0.05149,             0.05149
                  51,            0.034474,            0.057682,                   0,             0.96947,             0.95163,             0.97827,             0.68878,            0.025222,            0.056948,                   0,              0.0505,              0.0505,              0.0505
                  52,             0.03418,            0.057463,                   0,             0.96982,             0.95155,             0.97844,             0.68909,            0.025206,            0.056901,                   0,             0.04951,             0.04951,             0.04951
                  53,            0.034124,            0.057639,                   0,             0.96997,             0.95179,             0.97855,             0.68969,            0.025149,            0.056835,                   0,             0.04852,             0.04852,             0.04852
                  54,            0.033996,            0.057609,                   0,             0.97027,             0.95165,             0.97872,             0.68996,            0.025095,            0.056778,                   0,             0.04753,             0.04753,             0.04753
                  55,            0.033687,            0.057239,                   0,             0.97024,             0.95197,             0.97898,             0.69028,            0.025054,            0.056724,                   0,             0.04654,             0.04654,             0.04654
                  56,            0.033566,            0.057189,                   0,              0.9707,             0.95193,              0.9792,             0.69063,            0.025023,            0.056673,                   0,             0.04555,             0.04555,             0.04555
                  57,            0.033174,            0.056847,                   0,             0.97118,             0.95189,             0.97939,             0.69093,            0.024992,            0.056607,                   0,             0.04456,             0.04456,             0.04456
                  58,            0.033167,            0.056803,                   0,             0.97128,             0.95209,             0.97937,             0.69116,            0.024967,            0.056548,                   0,             0.04357,             0.04357,             0.04357
                  59,            0.032801,            0.056598,                   0,             0.97136,             0.95218,             0.97939,             0.69151,            0.024938,            0.056503,                   0,             0.04258,             0.04258,             0.04258
                  60,            0.032605,            0.056084,                   0,             0.97163,             0.95235,              0.9796,              0.6919,            0.024909,            0.056459,                   0,             0.04159,             0.04159,             0.04159
                  61,            0.032149,            0.055929,                   0,             0.97185,             0.95273,             0.97962,             0.69217,            0.024876,            0.056408,                   0,              0.0406,              0.0406,              0.0406
                  62,            0.032273,            0.056067,                   0,             0.97194,             0.95281,             0.97977,              0.6929,            0.024826,            0.056351,                   0,             0.03961,             0.03961,             0.03961
                  63,            0.032006,            0.055814,                   0,              0.9722,             0.95295,             0.97994,             0.69304,            0.024794,            0.056302,                   0,             0.03862,             0.03862,             0.03862
                  64,            0.031732,            0.055615,                   0,              0.9722,             0.95336,                0.98,             0.69399,            0.024757,            0.056237,                   0,             0.03763,             0.03763,             0.03763
                  65,             0.03157,            0.055489,                   0,             0.97257,             0.95333,             0.98018,             0.69458,            0.024728,            0.056171,                   0,             0.03664,             0.03664,             0.03664
                  66,            0.031256,             0.05519,                   0,             0.97286,             0.95354,             0.98027,             0.69507,            0.024686,            0.056111,                   0,             0.03565,             0.03565,             0.03565
                  67,            0.030926,            0.054961,                   0,             0.97291,             0.95384,             0.98045,             0.69566,            0.024646,            0.056044,                   0,             0.03466,             0.03466,             0.03466
                  68,            0.030629,            0.054668,                   0,             0.97303,             0.95371,             0.98053,             0.69655,            0.024596,            0.055978,                   0,             0.03367,             0.03367,             0.03367
                  69,            0.030533,            0.054384,                   0,             0.97323,              0.9538,             0.98064,             0.69694,            0.024548,            0.055925,                   0,             0.03268,             0.03268,             0.03268
                  70,            0.030271,            0.054805,                   0,             0.97333,             0.95389,             0.98078,             0.69732,            0.024517,            0.055871,                   0,             0.03169,             0.03169,             0.03169
                  71,            0.029921,            0.054337,                   0,             0.97355,              0.9541,             0.98091,             0.69786,            0.024462,            0.055805,                   0,              0.0307,              0.0307,              0.0307
                  72,            0.029766,            0.054063,                   0,             0.97384,             0.95407,               0.981,             0.69832,            0.024415,            0.055738,                   0,             0.02971,             0.02971,             0.02971
                  73,            0.029621,            0.053817,                   0,             0.97397,              0.9541,             0.98124,             0.69881,            0.024367,             0.05568,                   0,             0.02872,             0.02872,             0.02872
                  74,            0.029292,            0.053507,                   0,              0.9745,              0.9542,              0.9815,             0.69922,            0.024317,            0.055621,                   0,             0.02773,             0.02773,             0.02773
                  75,            0.028893,            0.053102,                   0,             0.97471,             0.95411,             0.98151,             0.69967,            0.024269,            0.055554,                   0,             0.02674,             0.02674,             0.02674
                  76,            0.028956,            0.053291,                   0,             0.97511,             0.95432,              0.9817,             0.70015,            0.024221,            0.055493,                   0,             0.02575,             0.02575,             0.02575
                  77,            0.028537,            0.053125,                   0,             0.97556,              0.9543,             0.98196,             0.70105,            0.024167,            0.055426,                   0,             0.02476,             0.02476,             0.02476
                  78,            0.028257,            0.052742,                   0,             0.97579,             0.95433,             0.98209,             0.70189,            0.024122,            0.055357,                   0,             0.02377,             0.02377,             0.02377
                  79,            0.028169,             0.05264,                   0,              0.9757,             0.95466,              0.9822,             0.70237,            0.024078,            0.055296,                   0,             0.02278,             0.02278,             0.02278
                  80,            0.027888,            0.051848,                   0,             0.97588,             0.95488,              0.9823,             0.70296,            0.024023,            0.055223,                   0,             0.02179,             0.02179,             0.02179
                  81,            0.027602,            0.051848,                   0,             0.97624,             0.95507,             0.98248,             0.70369,            0.023975,            0.055156,                   0,              0.0208,              0.0208,              0.0208
                  82,            0.027338,            0.051858,                   0,             0.97653,             0.95512,             0.98258,             0.70443,            0.023917,            0.055082,                   0,             0.01981,             0.01981,             0.01981
                  83,            0.027231,             0.05145,                   0,             0.97671,             0.95544,             0.98269,             0.70504,             0.02386,            0.055015,                   0,             0.01882,             0.01882,             0.01882
                  84,            0.026873,            0.050814,                   0,             0.97729,             0.95553,             0.98282,             0.70554,             0.02381,            0.054951,                   0,             0.01783,             0.01783,             0.01783
                  85,            0.026661,            0.050749,                   0,             0.97745,             0.95558,             0.98293,             0.70607,            0.023759,            0.054887,                   0,             0.01684,             0.01684,             0.01684
                  86,            0.026491,            0.050508,                   0,             0.97778,             0.95556,             0.98305,             0.70644,            0.023716,            0.054829,                   0,             0.01585,             0.01585,             0.01585
                  87,            0.026357,            0.050486,                   0,             0.97811,             0.95539,             0.98322,             0.70754,            0.023669,            0.054767,                   0,             0.01486,             0.01486,             0.01486
                  88,            0.026058,            0.049931,                   0,             0.97842,             0.95538,             0.98327,             0.70816,            0.023634,            0.054713,                   0,             0.01387,             0.01387,             0.01387
                  89,             0.02591,            0.049455,                   0,             0.97838,             0.95578,             0.98345,             0.70867,            0.023603,            0.054669,                   0,             0.01288,             0.01288,             0.01288
                  90,            0.025685,            0.049497,                   0,              0.9786,             0.95569,             0.98356,             0.70907,            0.023573,            0.054628,                   0,             0.01189,             0.01189,             0.01189
                  91,            0.025484,            0.048939,                   0,             0.97881,             0.95613,             0.98371,             0.70953,            0.023543,            0.054577,                   0,              0.0109,              0.0109,              0.0109
                  92,             0.02525,            0.048753,                   0,             0.97915,              0.9562,             0.98383,             0.70989,            0.023515,            0.054551,                   0,             0.00991,             0.00991,             0.00991
                  93,             0.02498,            0.047994,                   0,              0.9794,             0.95635,             0.98392,             0.71044,            0.023478,              0.0545,                   0,             0.00892,             0.00892,             0.00892
                  94,            0.024643,            0.047809,                   0,             0.97958,             0.95645,             0.98401,             0.71098,            0.023445,            0.054459,                   0,             0.00793,             0.00793,             0.00793
                  95,            0.024368,            0.047122,                   0,             0.97989,             0.95647,             0.98417,              0.7119,            0.023406,            0.054419,                   0,             0.00694,             0.00694,             0.00694
                  96,            0.024117,            0.046532,                   0,             0.97997,             0.95673,             0.98426,             0.71268,            0.023377,            0.054381,                   0,             0.00595,             0.00595,             0.00595
                  97,            0.023816,             0.04609,                   0,             0.98023,             0.95653,             0.98437,             0.71324,            0.023351,            0.054341,                   0,             0.00496,             0.00496,             0.00496
                  98,            0.023518,            0.045507,                   0,             0.98058,             0.95638,             0.98453,             0.71384,            0.023327,            0.054319,                   0,             0.00397,             0.00397,             0.00397
                  99,            0.023189,            0.045065,                   0,             0.98098,              0.9565,             0.98465,             0.71442,            0.023302,            0.054298,                   0,             0.00298,             0.00298,             0.00298
